Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
27,tt0166276,2026-02-08,2026-02-08,,"モンキーボーン","Monkeybone",https://www.imdb.com/title/tt0166276/,映画,4.8,93,2001,"コメディ, ファンタジー",20178,2001-12-15,"Henry Selick",,
28,tt2396589,2026-02-08,2026-02-08,,"マッドバウンド　哀しき友情","Mudbound",https://www.imdb.com/title/tt2396589/,映画,7.4,134,2017,"ドラマ, 戦争",57201,2017-11-17,"Dee Rees",,
29,tt3966404,2026-02-08,2026-02-08,,"裸足の季節","Mustang",https://www.imdb.com/title/tt3966404/,映画,7.6,97,2015,"ドラマ",42737,2016-06-11,"Deniz Gamze Ergüven",,
30,tt1714915,2026-02-08,2026-02-08,,"オンリー・ラヴァーズ・レフト・アライヴ","Only Lovers Left Alive",https://www.imdb.com/title/tt1714915/,映画,7.2,123,2013,"コメディ, ドラマ, ファンタジー, ホラー, ラブロマンス",114850,2013-12-20,"Jim Jarmusch",,
31,tt8893974,2026-02-08,2026-02-08,,"Passing","Passing",https://www.imdb.com/title/tt8893974/,映画,6.6,98,2021,"ドラマ, ミステリー, スリラー",17568,2021-11-10,"Rebecca Hall",,
32,tt4614612,2026-02-08,2026-02-08,,"ピータールー マンチェスターの悲劇","Peterloo",https://www.imdb.com/title/tt4614612/,映画,6.5,154,2018,"ドラマ, 歴史",5909,2019-08-09,"Mike Leigh",,
33,tt2764784,2026-02-08,2026-02-08,,"あの日のように抱きしめて","Phoenix",https://www.imdb.com/title/tt2764784/,映画,7.3,98,2014,"ドラマ, 歴史, 音楽, ラブロマンス",21844,2015-08-15,"Christian Petzold",,
34,tt0367027,2026-02-08,2026-02-08,,"ショートバス","Shortbus",https://www.imdb.com/title/tt0367027/,映画,6.3,101,2006,"コメディ, ドラマ, ラブロマンス",37055,2007-08-25,"John Cameron Mitchell",,
35,tt1421051,2026-02-08,2026-02-08,,"SOMEWHERE","Somewhere",https://www.imdb.com/title/tt1421051/,映画,6.3,97,2010,"コメディ, ドラマ, ラブロマンス",48420,2011-04-02,"Sofia Coppola",,
36,tt10638522,2026-02-08,2026-02-08,,"トーク・トゥ・ミー","Talk to Me",https://www.imdb.com/title/tt10638522/,映画,7.1,95,2022,"ホラー, スリラー",210302,2023-12-22,"Danny Philippou, Michael Philippou",,
